date,open,high,low,close,volume
2011-01-03,13.6775,13.8175,13.49,13.705,289600
2011-01-04,13.6925,13.75,13.6175,13.7125,342000
2011-01-05,13.7125,14.035,13.6325,14.035,371600
2011-01-06,13.9825,14.165,13.935,14,140000
2011-01-07,14.0125,14.15,13.965,14.145,86800
2011-01-10,14.1625,14.365,14.1625,14.35,104000
2011-01-11,14.5,14.6075,14.395,14.5825,348400
2011-01-12,14.675,14.675,14.525,14.595,166800
2011-01-13,14.6075,14.7625,14.545,14.705,206400
2011-01-14,14.75,14.75,14.4425,14.445,93600
2011-01-18,14.3375,14.5,14.3225,14.5,143200
2011-01-19,14.4725,14.485,14.2575,14.3675,103200
2011-01-20,14.325,14.325,13.905,13.955,112400
2011-01-21,14.0075,14.15,13.925,14.115,652400
2011-01-24,14.125,14.355,14.125,14.335,72800
2011-01-25,14.33,14.58,14.33,14.58,351200
2011-01-26,14.6925,14.715,14.4375,14.625,388800
2011-01-27,14.65,14.935,14.61,14.825,1096400
2011-01-28,14.92,15.15,14.6425,14.7725,975600
2011-01-31,14.9225,14.9725,14.74,14.835,411200
2011-02-01,14.935,15.0075,14.8375,14.9725,512400
2011-02-02,14.9,15.185,14.8875,14.9875,483200
2011-02-03,14.9675,15.3125,14.56,15.2775,479600
2011-02-04,15.25,15.285,15.1875,15.2425,148400
2011-02-07,15.2525,15.43,15.145,15.2325,201600
2011-02-08,15.3125,15.4125,15.215,15.25,662800
2011-02-09,15.25,15.25,15.0275,15.2175,51600
2011-02-10,15.125,15.1675,15.0225,15.125,80800
2011-02-11,15.125,15.1525,14.975,15.09,128800
2011-02-14,15.0225,15.14,15.0225,15.125,78400
2011-02-15,15.1725,15.245,15.005,15.045,136800
2011-02-16,15.1125,15.2275,15.075,15.18,170000
2011-02-17,15.22,15.25,15.085,15.23,306800
2011-02-18,15.2375,15.6325,15.08,15.625,604000
2011-02-22,15.3125,16.1225,15.1475,15.24,647600
2011-02-23,15.0725,15.36,14.875,14.995,1006400
2011-02-24,15,15.0175,14.8525,14.9025,264400
2011-02-25,14.9375,15.5075,14.9,15.47,1140000
2011-02-28,15.4325,16.625,15.095,15.59,866800
2011-03-01,15.63,15.665,15.04,15.51,926000
2011-03-02,15.5,15.73,15.465,15.675,286000
2011-03-03,15.7625,16.1125,15.5125,15.6125,366000
2011-03-04,15.5975,15.7475,15.5375,15.6625,175200
2011-03-07,15.6675,15.92,15.59,15.7175,419600
2011-03-08,15.7475,15.8375,15.665,15.665,210000
2011-03-09,15.8125,16.8125,15.8125,16.4225,1517600
2011-03-10,16.3175,16.405,16.0025,16.3375,385600
2011-03-11,16.4675,16.9375,16.4525,16.82,534400
2011-03-14,16.8025,16.9,16.6725,16.9,778400
2011-03-15,16.6975,17.025,16.6175,16.945,364400
2011-03-16,16.9925,17.0625,16.82,16.945,606400
2011-03-17,17.0175,17.245,16.845,16.95,713600
2011-03-18,17.08,17.56,17.0525,17.56,1094800
2011-03-21,17.6,17.805,17.6,17.7375,1190000
2011-03-22,17.71,17.82,17.705,17.7725,590800
2011-03-23,17.7625,17.7725,17.475,17.5575,579200
2011-03-24,17.56,17.75,17.52,17.7425,486800
2011-03-25,17.7625,17.8125,17.69,17.745,306400
2011-03-28,17.775,17.9125,17.6425,17.8,189600
2011-03-29,17.8225,18,17.695,17.97,476800
2011-03-30,18.0275,18.105,17.93,18.105,146400
2011-03-31,18.0275,18.1025,17.9475,18,183600
2011-04-01,18.12,18.4825,18.1125,18.28,338000
2011-04-04,18.4175,18.4975,18.1975,18.2825,248800
2011-04-05,18.3175,18.445,18.1225,18.125,522400
2011-04-06,18.21,18.335,17.865,18.075,830000
2011-04-07,18.1025,18.3725,18.0025,18.205,317600
2011-04-08,18.31,18.35,17.88,17.94,288800
2011-04-11,17.92,18,17.445,17.475,555200
2011-04-12,17.3875,17.39,16.625,17.0825,608000
2011-04-13,17.0625,17.15,16.9325,17.0625,228000
2011-04-14,17.0125,17.3125,16.8075,17.185,358400
2011-04-15,17.2125,17.6525,17.1475,17.63,528400
2011-04-18,17.5325,17.8975,17.3775,17.515,436800
2011-04-19,17.46,17.6475,16.93,16.985,628400
2011-04-20,17.08,17.4125,17.08,17.3875,124800
2011-04-21,17.4075,17.655,17.4075,17.635,83600
2011-04-25,17.6725,17.725,17.46,17.595,377200
2011-04-26,17.59,17.6125,17.5,17.575,138000
2011-04-27,17.5025,17.6175,17.43,17.545,180000
2011-04-28,17.57,17.575,17.07,17.1475,303200
2011-04-29,17.1275,17.315,16.9125,17.1325,629200
2011-05-02,17.1475,17.81,17.0875,17.7025,618800
2011-05-03,17.43,18.0925,17.195,17.54,558800
2011-05-04,17.765,18.095,17.53,18.075,950400
2011-05-05,18.1525,18.655,18,18.45,1118400
2011-05-06,18.535,18.9725,18.4525,18.8525,626400
2011-05-09,18.91,19.13,18.8775,19.0425,556000
2011-05-10,19.01,19.335,18.9525,19.23,622800
2011-05-11,19.445,19.535,19.21,19.3475,886800
2011-05-12,19.22,19.4075,19.155,19.345,515200
2011-05-13,19.38,19.4125,19.255,19.3825,449600
2011-05-16,19.355,19.3925,18.955,19.165,634000
2011-05-17,19.0525,19.87,19.0525,19.6125,1352800
2011-05-18,19.72,19.76,19,19.055,568400
2011-05-19,19.2025,19.455,18.895,18.9975,1018400
2011-05-20,18.985,19.1225,18.9825,19.07,299200
2011-05-23,18.8625,19,18.73,18.7725,398800
2011-05-24,18.98,18.98,18.4875,18.5175,623200
2011-05-25,18.615,18.615,18.4175,18.5,801200
2011-05-26,18.5,18.6875,18.2525,18.64,505600
2011-05-27,18.6425,19.295,18.6425,19.1375,562400
2011-05-31,19.2425,20.125,19.2425,19.925,2432400
2011-06-01,19.9025,20.0475,19.565,19.6,880800
2011-06-02,19.58,19.9125,19.58,19.67,533600
2011-06-03,19.5225,19.58,19.24,19.3775,508400
2011-06-06,19.3975,19.3975,18.64,18.9175,1099600
2011-06-07,18.9875,19.075,18.6925,18.7525,987600
2011-06-08,18.7675,19.0875,18.5825,18.6225,471200
2011-06-09,18.7075,18.81,18.3025,18.6525,1137600
2011-06-10,18.635,18.685,17.8775,18.38,1105200
2011-06-13,18.4525,18.5175,17.705,17.9675,1388000
2011-06-14,18.1575,18.485,18.0325,18.2,852400
2011-06-15,18.0925,18.2675,17.7525,17.9575,895600
2011-06-16,17.9825,18.12,17.655,18.035,634000
2011-06-17,18.1175,18.355,17.9675,18.2325,835200
2011-06-20,18.2,18.775,18.2,18.4625,838000
2011-06-21,18.51,18.7,18.3725,18.65,526400
2011-06-22,18.57,18.905,18.425,18.6775,1168400
2011-06-23,18.535,18.7375,18.3225,18.5725,1064000
2011-06-24,18.5875,19.0375,18.285,18.3875,9956000
2011-06-27,18.465,18.465,18.07,18.205,1197200
2011-06-28,18.205,19.085,18.09,18.925,1337000
2011-06-29,19.07,19.295,18.725,18.825,744000
2011-06-30,18.815,18.995,18.625,18.725,808200
2011-07-01,18.7,19.25,18.605,19.21,1048400
2011-07-05,19.27,19.695,19.24,19.5,1226000
2011-07-06,19.485,19.67,19.18,19.5,1257600
2011-07-07,19.61,19.995,19.61,19.835,873000
2011-07-08,19.635,19.745,19.335,19.475,327200
2011-07-11,19.335,19.37,18.46,18.62,499800
2011-07-12,18.63,18.74,18.185,18.275,711000
2011-07-13,18.4,18.745,18.13,18.265,482400
2011-07-14,18.275,18.48,17.68,17.715,417200
2011-07-15,17.76,17.915,17.425,17.505,614000
2011-07-18,17.415,17.55,17.125,17.485,1166000
2011-07-19,17.58,17.86,17.435,17.765,646600
2011-07-20,17.78,17.805,17.61,17.735,465800
2011-07-21,17.825,18.19,17.605,17.91,492600
2011-07-22,17.905,17.95,17.58,17.725,1156200
2011-07-25,18.02,18.635,16.84,18.22,2946800
2011-07-26,18,18.75,17.83,18.44,1038600
2011-07-27,18.335,18.405,17.735,18.005,1295400
2011-07-28,17.915,17.945,17.49,17.565,606600
2011-07-29,17.56,17.835,17.08,17.605,626800
2011-08-01,17.75,17.845,17.23,17.445,823000
2011-08-02,17.355,17.425,16.725,16.76,1190200
2011-08-03,16.74,17.08,16.31,16.79,1774800
2011-08-04,16.62,16.73,15.975,16.025,1570200
2011-08-05,16.185,16.205,14.28,15.78,1877200
2011-08-08,15.25,16.615,14.685,14.99,2776200
2011-08-09,15.29,16.2,14.795,16.165,1143800
2011-08-10,15.865,16.145,15.55,15.63,891400
2011-08-11,15.74,16.67,15.74,16.385,804000
2011-08-12,16.545,16.87,16.08,16.31,620400
2011-08-15,16.47,16.72,16.165,16.43,595400
2011-08-16,16.305,16.305,15.75,15.99,644600
2011-08-17,16.11,16.14,15.61,15.895,383000
2011-08-18,15.625,15.765,15.15,15.445,910800
2011-08-19,15.45,16.445,15.19,15.49,926600
2011-08-22,15.865,15.865,15.225,15.425,399400
2011-08-23,15.42,16.24,15.02,16.195,1185200
2011-08-24,16.115,16.855,16.06,16.81,934200
2011-08-25,16.905,17.18,16.705,16.84,938600
2011-08-26,16.715,16.95,16.435,16.885,618200
2011-08-29,17.065,17.5,16.3,16.99,1776800
2011-08-30,16.82,17.21,16.605,16.98,1073800
2011-08-31,17.08,17.195,16.475,16.775,875400
2011-09-01,16.72,17.08,16.15,16.22,750000
2011-09-02,15.785,16.165,15.625,15.795,685800
2011-09-06,15.4,15.57,14.865,15.055,1175400
2011-09-07,15.155,16.275,15.1,16.005,992000
2011-09-08,15.96,16.135,15.655,15.66,820200
2011-09-09,15.44,15.605,15.21,15.36,665800
2011-09-12,15.14,15.265,14.78,15.255,788200
2011-09-13,15.255,15.7,15.23,15.65,512000
2011-09-14,15.755,16.57,15.55,16.19,754600
2011-09-15,16.29,16.29,15.795,15.95,965000
2011-09-16,16.04,16.535,15.96,16.01,668800
2011-09-19,15.825,16,15.66,15.835,325600
2011-09-20,15.885,16.075,15.61,15.64,466600
2011-09-21,15.565,15.565,15.1,15.135,645400
2011-09-22,14.825,15.19,14.245,14.465,1296200
2011-09-23,14.46,14.75,14.35,14.635,698200
2011-09-26,14.705,14.94,14.38,14.935,517600
2011-09-27,15.175,15.49,15.145,15.325,746400
2011-09-28,15.305,15.505,14.955,14.995,960400
2011-09-29,15.315,15.445,14.5,14.78,740600
2011-09-30,14.57,14.69,13.85,13.86,1337800
2011-10-03,13.735,13.82,12.44,12.895,3140600
2011-10-04,12.835,13.255,12.36,13.21,1758800
2011-10-05,13.305,13.435,13.13,13.34,1281600
2011-10-06,13.305,14.31,13.285,14.265,1409000
2011-10-07,14.285,14.395,13.995,14.065,1035000
2011-10-10,14.355,14.7,14.355,14.68,893400
2011-10-11,14.525,14.795,14.42,14.67,946800
2011-10-12,14.775,14.95,14.695,14.805,564000
2011-10-13,14.755,14.755,14.34,14.63,604200
2011-10-14,14.75,14.855,14.495,14.75,686200
2011-10-17,14.615,14.75,14.395,14.44,427800
