date,open,high,low,close,volume
2009-01-02,903.25,934.73,899.35,931.8,0
2009-01-05,931.8,936.63,919.53,927.45,0
2009-01-06,927.45,943.85,927.28,934.7,0
2009-01-07,934.7,934.7,902.37,906.65,0
2009-01-08,906.65,910,896.81,909.73,0
2009-01-09,909.73,911.93,888.31,890.35,0
2009-01-12,890.35,890.4,864.32,870.26,0
2009-01-13,870.26,877.02,862.02,871.79,0
2009-01-14,871.79,871.79,836.93,842.62,0
2009-01-15,842.62,851.59,817.04,843.74,0
2009-01-16,843.74,858.13,830.66,850.12,0
2009-01-20,850.12,850.12,804.47,805.22,0
2009-01-21,805.22,841.72,804.3,840.24,0
2009-01-22,840.24,840.24,811.29,827.5,0
2009-01-23,827.5,838.61,806.07,831.95,0
2009-01-26,831.95,852.53,827.69,836.57,0
2009-01-27,836.57,850.45,835.4,845.71,0
2009-01-28,845.71,877.86,845.71,874.09,0
2009-01-29,874.09,874.09,844.15,845.14,0
2009-01-30,845.14,851.66,821.67,825.88,0
2009-02-02,825.88,830.78,812.87,825.44,0
2009-02-03,825.44,842.6,821.98,838.51,0
2009-02-04,838.51,851.85,829.18,832.23,0
2009-02-05,832.23,850.55,819.91,845.85,0
2009-02-06,845.85,870.75,845.42,868.6,0
2009-02-09,868.6,875.01,861.65,869.89,0
2009-02-10,869.89,869.89,822.99,827.16,0
2009-02-11,827.16,838.22,822.3,833.74,0
2009-02-12,833.74,835.48,808.06,835.19,0
2009-02-13,835.19,839.43,825.21,826.84,0
2009-02-17,826.84,826.84,789.17,789.17,0
2009-02-18,789.17,796.17,780.43,788.42,0
2009-02-19,788.42,797.58,777.03,778.94,0
2009-02-20,778.94,778.94,754.25,770.05,0
2009-02-23,770.05,777.85,742.37,743.33,0
2009-02-24,743.33,775.49,743.33,773.14,0
2009-02-25,773.14,780.12,752.89,764.9,0
2009-02-26,764.9,779.42,751.75,752.83,0
2009-02-27,752.83,752.83,734.52,735.09,0
2009-03-02,735.09,735.09,700.82,700.82,0
2009-03-03,700.82,711.67,692.3,696.33,0
2009-03-04,696.33,724.12,696.33,712.87,0
2009-03-05,712.87,712.87,677.93,682.55,0
2009-03-06,682.55,699.09,666.79,683.38,0
2009-03-09,676.53,695.27,672.88,676.53,0
2009-03-10,676.53,719.6,676.53,719.6,0
2009-03-11,719.6,731.92,713.85,721.36,0
2009-03-12,721.36,752.63,714.76,750.74,0
2009-03-13,750.74,758.29,742.46,756.55,0
2009-03-16,758.84,774.53,753.37,753.89,0
2009-03-17,753.88,778.12,749.93,778.12,0
2009-03-18,776.01,801.4,765.64,794.35,0
2009-03-19,797.92,803.24,781.82,784.04,0
2009-03-20,784.58,788.91,766.2,768.54,0
2009-03-23,776.71,823.37,776.71,822.92,0
2009-03-24,820.6,823.65,805.48,806.25,0
2009-03-25,806.81,826.78,791.37,813.88,0
2009-03-26,814.06,832.98,814.06,832.86,0
2009-03-27,828.68,828.68,813.43,815.94,0
2009-03-30,809.07,809.07,779.87,787.53,0
2009-03-31,790.88,810.48,790.88,797.87,0
2009-04-01,793.59,813.62,783.32,811.08,0
2009-04-02,814.53,845.61,814.53,834.38,0
2009-04-03,835.13,842.5,826.85,842.5,0
2009-04-06,837.58,837.58,822.79,835.48,0
2009-04-07,834.12,834.12,814.53,815.55,0
2009-04-08,816.76,828.42,814.84,825.16,0
2009-04-09,829.29,856.91,829.29,856.56,0
2009-04-13,855.33,864.31,845.35,858.73,0
2009-04-14,856.88,856.88,840.25,841.5,0
2009-04-15,839.44,852.93,835.58,852.06,0
2009-04-16,854.54,870.35,847.04,865.3,0
2009-04-17,865.18,875.63,860.87,869.6,0
2009-04-20,863.16,863.16,832.39,832.39,0
2009-04-21,831.25,850.09,826.83,850.08,0
2009-04-22,847.26,861.78,840.57,843.55,0
2009-04-23,844.62,852.87,835.45,851.92,0
2009-04-24,853.91,871.8,853.91,866.23,0
2009-04-27,862.82,868.83,854.65,857.51,0
2009-04-28,854.48,864.48,847.12,855.16,0
2009-04-29,856.85,882.06,856.85,873.64,0
2009-04-30,876.59,888.7,868.51,872.81,0
2009-05-01,872.74,880.48,866.1,877.52,0
2009-05-04,879.21,907.85,879.21,907.24,0
2009-05-05,906.1,907.7,897.34,903.8,0
2009-05-06,903.95,920.28,903.95,919.53,0
2009-05-07,919.58,929.58,901.36,907.39,0
2009-05-08,911.73,930.17,911.73,929.23,0
2009-05-11,922.99,922.99,908.68,909.24,0
2009-05-12,910.52,915.57,896.46,908.35,0
2009-05-13,905.4,905.4,882.8,883.92,0
2009-05-14,884.24,898.36,882.52,893.07,0
2009-05-15,892.76,896.97,878.94,882.88,0
2009-05-18,886.07,910,886.07,909.71,0
2009-05-19,909.16,916.39,905.22,908.13,0
2009-05-20,908.62,924.6,901.37,903.47,0
2009-05-21,900.42,900.42,879.61,888.33,0
